model number,model name,time taken to optimise (in seconds),number of partitions,partition size
5,model_with_pwl_costs_5,0.00018668174743652344,100,5
6,model_with_pwl_costs_6,0.00019407272338867188,100,5
7,model_with_pwl_costs_7,0.00020503997802734375,100,5
8,model_with_pwl_costs_8,0.0002079010009765625,100,5
9,model_with_pwl_costs_9,0.0002009868621826172,100,5
10,model_with_pwl_costs_10,0.0002028942108154297,100,5
11,model_with_pwl_costs_11,0.0001862049102783203,100,5
12,model_with_pwl_costs_12,0.0001971721649169922,100,5
13,model_with_pwl_costs_13,0.00020003318786621094,100,5
14,model_with_pwl_costs_14,0.00018405914306640625,100,5
15,model_with_pwl_costs_15,0.00019407272338867188,100,5
16,model_with_pwl_costs_16,0.0002048015594482422,100,5
17,model_with_pwl_costs_17,0.00019669532775878906,100,5
18,model_with_pwl_costs_18,0.00019693374633789062,100,5
19,model_with_pwl_costs_19,0.0001888275146484375,100,5
20,model_with_pwl_costs_20,0.00019693374633789062,100,5
21,model_with_pwl_costs_21,0.00020885467529296875,100,5
22,model_with_pwl_costs_22,0.0002090930938720703,100,5
23,model_with_pwl_costs_23,0.0001952648162841797,100,5
24,model_with_pwl_costs_24,0.00019407272338867188,100,5
0,model_with_separate_variables_0,0.0013980865478515625,250,5
1,model_with_separate_variables_1,0.0012979507446289062,250,5
2,model_with_separate_variables_2,0.0012938976287841797,250,5
3,model_with_separate_variables_3,0.0013179779052734375,250,5
4,model_with_separate_variables_4,0.0013158321380615234,250,5
5,model_with_separate_variables_5,0.0012950897216796875,250,5
6,model_with_separate_variables_6,0.0012938976287841797,250,5
7,model_with_separate_variables_7,0.0013260841369628906,250,5
8,model_with_separate_variables_8,0.0013310909271240234,250,5
9,model_with_separate_variables_9,0.0014140605926513672,250,5
10,model_with_separate_variables_10,0.0013790130615234375,250,5
11,model_with_separate_variables_11,0.0012791156768798828,250,5
12,model_with_separate_variables_12,0.0012717247009277344,250,5
13,model_with_separate_variables_13,0.0012891292572021484,250,5
14,model_with_separate_variables_14,0.0012631416320800781,250,5
15,model_with_separate_variables_15,0.001283884048461914,250,5
16,model_with_separate_variables_16,0.0012831687927246094,250,5
