model number,model name,time taken to build model (in seconds),number of partitions,partition size
23,model_with_separate_variables_23,0.057830810546875,250,5
24,model_with_separate_variables_24,0.07218170166015625,250,5
0,model_with_pwl_costs_0,0.0060198307037353516,250,5
1,model_with_pwl_costs_1,0.006227731704711914,250,5
2,model_with_pwl_costs_2,0.006700754165649414,250,5
3,model_with_pwl_costs_3,0.0070438385009765625,250,5
4,model_with_pwl_costs_4,0.0070726871490478516,250,5
5,model_with_pwl_costs_5,0.007120847702026367,250,5
6,model_with_pwl_costs_6,0.008082866668701172,250,5
7,model_with_pwl_costs_7,0.007668972015380859,250,5
8,model_with_pwl_costs_8,0.0077667236328125,250,5
9,model_with_pwl_costs_9,0.008061885833740234,250,5
10,model_with_pwl_costs_10,0.008360624313354492,250,5
11,model_with_pwl_costs_11,0.008669853210449219,250,5
12,model_with_pwl_costs_12,0.009029626846313477,250,5
13,model_with_pwl_costs_13,0.008992671966552734,250,5
14,model_with_pwl_costs_14,0.009349822998046875,250,5
15,model_with_pwl_costs_15,0.009456872940063477,250,5
16,model_with_pwl_costs_16,0.010125875473022461,250,5
17,model_with_pwl_costs_17,0.01011967658996582,250,5
18,model_with_pwl_costs_18,0.010111093521118164,250,5
19,model_with_pwl_costs_19,0.010580778121948242,250,5
20,model_with_pwl_costs_20,0.010766744613647461,250,5
21,model_with_pwl_costs_21,0.011396646499633789,250,5
22,model_with_pwl_costs_22,0.010949850082397461,250,5
23,model_with_pwl_costs_23,0.011260986328125,250,5
24,model_with_pwl_costs_24,0.011705875396728516,250,5
0,model_with_separate_variables_0,0.019587993621826172,500,5
1,model_with_separate_variables_1,0.023585081100463867,500,5
2,model_with_separate_variables_2,0.027837753295898438,500,5
3,model_with_separate_variables_3,0.03192305564880371,500,5
4,model_with_separate_variables_4,0.04486989974975586,500,5
5,model_with_separate_variables_5,0.04010820388793945,500,5
6,model_with_separate_variables_6,0.04378008842468262,500,5
7,model_with_separate_variables_7,0.05856204032897949,500,5
8,model_with_separate_variables_8,0.05166292190551758,500,5
9,model_with_separate_variables_9,0.06843304634094238,500,5
10,model_with_separate_variables_10,0.060502052307128906,500,5
11,model_with_separate_variables_11,0.07665419578552246,500,5
12,model_with_separate_variables_12,0.06845498085021973,500,5
13,model_with_separate_variables_13,0.08553123474121094,500,5
14,model_with_separate_variables_14,0.09155106544494629,500,5
15,model_with_separate_variables_15,0.08167409896850586,500,5
16,model_with_separate_variables_16,0.09836196899414062,500,5
17,model_with_separate_variables_17,0.10387492179870605,500,5
18,model_with_separate_variables_18,0.11261296272277832,500,5
19,model_with_separate_variables_19,0.098175048828125,500,5
20,model_with_separate_variables_20,0.11647701263427734,500,5
21,model_with_separate_variables_21,0.12453579902648926,500,5
22,model_with_separate_variables_22,0.12997221946716309,500,5
23,model_with_separate_variables_23,0.13654613494873047,500,5
24,model_with_separate_variables_24,0.1188650131225586,500,5
0,model_with_pwl_costs_0,0.011361122131347656,500,5
1,model_with_pwl_costs_1,0.011638879776000977,500,5
2,model_with_pwl_costs_2,0.012167930603027344,500,5
3,model_with_pwl_costs_3,0.012665033340454102,500,5
4,model_with_pwl_costs_4,0.013020038604736328,500,5
5,model_with_pwl_costs_5,0.013816118240356445,500,5
6,model_with_pwl_costs_6,0.013904094696044922,500,5
7,model_with_pwl_costs_7,0.014387130737304688,500,5
8,model_with_pwl_costs_8,0.014944076538085938,500,5
9,model_with_pwl_costs_9,0.03857016563415527,500,5
