model number,model name,time taken to optimise (in seconds),number of partitions,partition size,time taken to build model (in seconds)
16,model_with_separate_variables_16,0.0004801750183105469,100,5,0.017667055130004883
17,model_with_separate_variables_17,0.0004830360412597656,100,5,0.018284082412719727
18,model_with_separate_variables_18,0.0004699230194091797,100,5,0.018948078155517575
19,model_with_separate_variables_19,0.000476837158203125,100,5,0.020570993423461914
20,model_with_separate_variables_20,0.0004699230194091797,100,5,0.02069234848022461
21,model_with_separate_variables_21,0.00046825408935546886,100,5,0.029931068420410163
22,model_with_separate_variables_22,0.00047707557678222656,100,5,0.022832155227661133
23,model_with_separate_variables_23,0.000476837158203125,100,5,0.022916316986083984
24,model_with_separate_variables_24,0.0005891323089599608,100,5,0.024202823638916016
0,model_with_pwl_costs_0,0.00034689903259277344,100,5,0.0031430721282958984
1,model_with_pwl_costs_1,0.0002181529998779297,100,5,0.0031442642211914067
2,model_with_pwl_costs_2,0.00020241737365722656,100,5,0.003227949142456055
3,model_with_pwl_costs_3,0.0001888275146484375,100,5,0.00332331657409668
4,model_with_pwl_costs_4,0.0001957416534423828,100,5,0.003387451171875
5,model_with_pwl_costs_5,0.00018668174743652344,100,5,0.004098176956176758
6,model_with_pwl_costs_6,0.00019407272338867188,100,5,0.0036063194274902335
7,model_with_pwl_costs_7,0.00020503997802734372,100,5,0.003826141357421875
8,model_with_pwl_costs_8,0.0002079010009765625,100,5,0.0037610530853271493
9,model_with_pwl_costs_9,0.0002009868621826172,100,5,0.003844022750854492
10,model_with_pwl_costs_10,0.0002028942108154297,100,5,0.003953218460083008
11,model_with_pwl_costs_11,0.0001862049102783203,100,5,0.004034996032714844
12,model_with_pwl_costs_12,0.0001971721649169922,100,5,0.004178285598754883
13,model_with_pwl_costs_13,0.0002000331878662109,100,5,0.004354238510131836
14,model_with_pwl_costs_14,0.00018405914306640625,100,5,0.004303932189941406
15,model_with_pwl_costs_15,0.00019407272338867188,100,5,0.004487037658691406
16,model_with_pwl_costs_16,0.0002048015594482422,100,5,0.004590034484863281
17,model_with_pwl_costs_17,0.00019669532775878904,100,5,0.0046234130859375
18,model_with_pwl_costs_18,0.00019693374633789065,100,5,0.004694223403930664
19,model_with_pwl_costs_19,0.0001888275146484375,100,5,0.004781007766723633
20,model_with_pwl_costs_20,0.00019693374633789065,100,5,0.004904270172119141
21,model_with_pwl_costs_21,0.00020885467529296875,100,5,0.00486302375793457
22,model_with_pwl_costs_22,0.0002090930938720703,100,5,0.004996299743652344
23,model_with_pwl_costs_23,0.0001952648162841797,100,5,0.005236148834228516
24,model_with_pwl_costs_24,0.00019407272338867188,100,5,0.005459070205688477
0,model_with_separate_variables_0,0.0013980865478515625,250,5,0.010577917098999023
1,model_with_separate_variables_1,0.0012979507446289062,250,5,0.01217961311340332
2,model_with_separate_variables_2,0.0012938976287841795,250,5,0.02194786071777344
3,model_with_separate_variables_3,0.0013179779052734375,250,5,0.016484737396240234
4,model_with_separate_variables_4,0.0013158321380615234,250,5,0.0180206298828125
5,model_with_separate_variables_5,0.0012950897216796875,250,5,0.02060556411743164
6,model_with_separate_variables_6,0.0012938976287841795,250,5,0.0220487117767334
7,model_with_separate_variables_7,0.0013260841369628904,250,5,0.02486872673034668
8,model_with_separate_variables_8,0.0013310909271240234,250,5,0.026439905166625977
9,model_with_separate_variables_9,0.0014140605926513672,250,5,0.037799596786499016
10,model_with_separate_variables_10,0.0013790130615234375,250,5,0.030765771865844727
11,model_with_separate_variables_11,0.0012791156768798828,250,5,0.03750991821289063
12,model_with_separate_variables_12,0.0012717247009277346,250,5,0.04694104194641113
13,model_with_separate_variables_13,0.0012891292572021484,250,5,0.03638362884521485
14,model_with_separate_variables_14,0.001263141632080078,250,5,0.03925871849060058
15,model_with_separate_variables_15,0.001283884048461914,250,5,0.05254983901977539
16,model_with_separate_variables_16,0.0012831687927246096,250,5,0.04308891296386719
17,model_with_separate_variables_17,0.001285076141357422,250,5,0.0445556640625
18,model_with_separate_variables_18,0.0012781620025634766,250,5,0.058355093002319336
19,model_with_separate_variables_19,0.0012857913970947266,250,5,0.048985958099365234
20,model_with_separate_variables_20,0.0013256072998046875,250,5,0.06253600120544434
21,model_with_separate_variables_21,0.0013849735260009766,250,5,0.054268836975097656
22,model_with_separate_variables_22,0.0014882087707519533,250,5,0.06846094131469728
23,model_with_separate_variables_23,0.001463174819946289,250,5,0.057830810546875
24,model_with_separate_variables_24,0.0013527870178222654,250,5,0.07218170166015625
0,model_with_pwl_costs_0,0.0007510185241699219,250,5,0.006019830703735352
1,model_with_pwl_costs_1,0.0006978511810302733,250,5,0.006227731704711914
2,model_with_pwl_costs_2,0.0006940364837646483,250,5,0.006700754165649414
3,model_with_pwl_costs_3,0.0006949901580810548,250,5,0.0070438385009765625
4,model_with_pwl_costs_4,0.0006821155548095702,250,5,0.0070726871490478516
5,model_with_pwl_costs_5,0.000698089599609375,250,5,0.007120847702026367
6,model_with_pwl_costs_6,0.0007131099700927733,250,5,0.008082866668701172
7,model_with_pwl_costs_7,0.0006957054138183594,250,5,0.007668972015380859
8,model_with_pwl_costs_8,0.0007188320159912108,250,5,0.0077667236328125
9,model_with_pwl_costs_9,0.0006778240203857423,250,5,0.008061885833740234
10,model_with_pwl_costs_10,0.0006959438323974608,250,5,0.008360624313354492
11,model_with_pwl_costs_11,0.0007276535034179688,250,5,0.008669853210449219
12,model_with_pwl_costs_12,0.0007469654083251952,250,5,0.009029626846313477
13,model_with_pwl_costs_13,0.0006997585296630858,250,5,0.008992671966552734
14,model_with_pwl_costs_14,0.0006949901580810548,250,5,0.009349822998046877
15,model_with_pwl_costs_15,0.0007150173187255858,250,5,0.009456872940063477
16,model_with_pwl_costs_16,0.0006971359252929688,250,5,0.01012587547302246
17,model_with_pwl_costs_17,0.0007040500640869142,250,5,0.01011967658996582
18,model_with_pwl_costs_18,0.0007050037384033202,250,5,0.010111093521118164
19,model_with_pwl_costs_19,0.0007090568542480469,250,5,0.010580778121948242
20,model_with_pwl_costs_20,0.0006883144378662108,250,5,0.01076674461364746
21,model_with_pwl_costs_21,0.0006930828094482423,250,5,0.011396646499633787
22,model_with_pwl_costs_22,0.0006928443908691406,250,5,0.01094985008239746
23,model_with_pwl_costs_23,0.0006847381591796875,250,5,0.011260986328125
24,model_with_pwl_costs_24,0.0006961822509765625,250,5,0.011705875396728516
0,model_with_separate_variables_0,0.002539873123168945,500,5,0.01958799362182617
1,model_with_separate_variables_1,0.002416849136352539,500,5,0.023585081100463867
2,model_with_separate_variables_2,0.0024569034576416016,500,5,0.02783775329589844
3,model_with_separate_variables_3,0.0025637149810791016,500,5,0.03192305564880371
4,model_with_separate_variables_4,0.002650737762451172,500,5,0.04486989974975586
5,model_with_separate_variables_5,0.002465963363647461,500,5,0.04010820388793945
6,model_with_separate_variables_6,0.002465963363647461,500,5,0.04378008842468262
7,model_with_separate_variables_7,0.002470731735229492,500,5,0.058562040328979485
8,model_with_separate_variables_8,0.002538919448852539,500,5,0.05166292190551758
9,model_with_separate_variables_9,0.002607107162475586,500,5,0.06843304634094237
10,model_with_separate_variables_10,0.002554178237915039,500,5,0.0605020523071289
11,model_with_separate_variables_11,0.002514839172363281,500,5,0.07665419578552246
12,model_with_separate_variables_12,0.002523899078369141,500,5,0.06845498085021973
13,model_with_separate_variables_13,0.002493858337402344,500,5,0.08553123474121094
14,model_with_separate_variables_14,0.002502918243408203,500,5,0.09155106544494628
15,model_with_separate_variables_15,0.002493858337402344,500,5,0.08167409896850586
16,model_with_separate_variables_16,0.002526998519897461,500,5,0.09836196899414062
17,model_with_separate_variables_17,0.0025420188903808594,500,5,0.10387492179870604
18,model_with_separate_variables_18,0.002535104751586914,500,5,0.11261296272277832
19,model_with_separate_variables_19,0.002479076385498047,500,5,0.098175048828125
20,model_with_separate_variables_20,0.0024917125701904297,500,5,0.11647701263427734
21,model_with_separate_variables_21,0.0025000572204589844,500,5,0.12453579902648924
22,model_with_separate_variables_22,0.002516031265258789,500,5,0.12997221946716309
23,model_with_separate_variables_23,0.0025131702423095703,500,5,0.13654613494873047
24,model_with_separate_variables_24,0.0025169849395751953,500,5,0.1188650131225586
0,model_with_pwl_costs_0,0.0011599063873291016,500,5,0.011361122131347656
1,model_with_pwl_costs_1,0.0012121200561523438,500,5,0.011638879776000977
2,model_with_pwl_costs_2,0.001163005828857422,500,5,0.012167930603027344
3,model_with_pwl_costs_3,0.0011937618255615234,500,5,0.012665033340454102
4,model_with_pwl_costs_4,0.0012080669403076172,500,5,0.013020038604736328
5,model_with_pwl_costs_5,0.001224040985107422,500,5,0.013816118240356444
6,model_with_pwl_costs_6,0.0012278556823730467,500,5,0.013904094696044922
7,model_with_pwl_costs_7,0.001201152801513672,500,5,0.014387130737304688
8,model_with_pwl_costs_8,0.0012428760528564453,500,5,0.014944076538085938
9,model_with_pwl_costs_9,0.0012428760528564453,500,5,0.038570165634155266
10,model_with_pwl_costs_10,0.0012180805206298828,500,5,0.01595592498779297
11,model_with_pwl_costs_11,0.0011761188507080078,500,5,0.016067028045654297
12,model_with_pwl_costs_12,0.0011909008026123047,500,5,0.01684427261352539
13,model_with_pwl_costs_13,0.0011780261993408205,500,5,0.017066001892089844
14,model_with_pwl_costs_14,0.0012209415435791016,500,5,0.017251968383789062
15,model_with_pwl_costs_15,0.001194000244140625,500,5,0.018272876739501957
16,model_with_pwl_costs_16,0.0012178421020507812,500,5,0.018211841583251957
17,model_with_pwl_costs_17,0.0011668205261230467,500,5,0.018491029739379883
18,model_with_pwl_costs_18,0.0012080669403076172,500,5,0.019376039505004883
19,model_with_pwl_costs_19,0.001209259033203125,500,5,0.019423961639404297
20,model_with_pwl_costs_20,0.0011692047119140625,500,5,0.02025699615478516
21,model_with_pwl_costs_21,0.0011429786682128904,500,5,0.02077198028564453
